"#","Product","Link","Brand","Sellers","Variations","Price","Category","Rank","Est. Sales","Est. Revenue","Reviews","Rating","FBA"
"43","Disney Moana Hei Hei Is My Spirit Animal Portrait T-Shirt","http://www.amazon.com//dp/B07XBVHTVK","Visit the Disney Store","1","244","$22.99","Clothing, Shoes &amp; Jewelry","55,317","20","$460","999 ","4.8","-"
"44","Jeep Duck Flag T-Shirt","http://www.amazon.com//dp/B0B17DR3BX","Visit the Jeep Store","1","352","$22.97","Clothing, Shoes &amp; Jewelry","159,867","16","$368","112 ","4.8","-"
"45","Disney Pixar Cars Lightning McQueen Kachow! Retro Shot T-Shirt","http://www.amazon.com//dp/B0CSTCC565","Visit the Disney Store","1","264","$22.99","Clothing, Shoes &amp; Jewelry","114,031","17","$391","39 ","4.6","-"
"46","Hot Wheels Monster Trucks - Crush It T-Shirt","http://www.amazon.com//dp/B0D5NY75NG","Visit the Hot Wheels Store","1","258","$22.99","Clothing, Shoes &amp; Jewelry","95,207","17","$391","35 ","4.6","-"
"47","Disney Mickey Mouse Classic Pose T-Shirt","http://www.amazon.com//dp/B07S86D2K1","Visit the Disney Store","1","629","$22.99","Clothing, Shoes &amp; Jewelry","67,483","18","$414","2,099 ","4.5","-"
"48","Disney Mickey And Friends Goofy Big Face Vintage Portrait T-Shirt","http://www.amazon.com//dp/B08228BNQB","Visit the Disney Store","1","265","$22.99","Clothing, Shoes &amp; Jewelry","106,149","17","$391","381 ","4.7","-"
"49","Disney Mickey And Friends Moods Of Donald Duck Short Sleeve T-Shirt","http://www.amazon.com//dp/B0853X9Q6X","Visit the Disney Store","1","156","$22.99","Clothing, Shoes &amp; Jewelry","90,747","17","$391","628 ","4.7","-"
"50","Disney A Goofy Movie Powerline Tour '95 Retro Neon Poster T-Shirt","http://www.amazon.com//dp/B08HTD57YC","Visit the Disney Store","1","155","$22.99","Clothing, Shoes &amp; Jewelry","111,469","17","$391","499 ","4.8","-"
"51","STAR WARS Men's Corellian Freighter T-Shirt","http://www.amazon.com//dp/B0CJKJQYGG","Visit the STAR WARS Store","1","1","$16.01","Clothing, Shoes &amp; Jewelry","38,035","23","$368","2,003 ","4.7","-"
"53","Disney Hannah Montana Classic Iconic Big Chest Text Logo T-Shirt","http://www.amazon.com//dp/B0CZ4J6F5B","Visit the Disney Store","1","399","$22.99","Clothing, Shoes &amp; Jewelry","328,018","16","$368","14 ","4.8","-"
